product_id,product_name,amount,product_quantity
1,Pantaloni in jeans,228.53,1974
2,maglia,208.16,1170
3,Penna stilografica,814.59,3126
4,Stampante laser,792.75,4581
5,Scarpe da ginnastica,594.54,4367
6,Pantofole da casa,58.07,3547
7,Piumino,184.96,3231
8,borsa,570.33,993
9,Abbigliamento sportivo,526.31,1362
10,borsa,596.32,4600
11,occhiali da sole,396.93,3359
12,Frigorifero doppia porta,3.02,2645
13,Lavatrice,772.3,2565
14,ventola,719.16,4028
15,Tavolo da pranzo,947.83,1679
16,cellulare,102.48,2230
17,Libri per bambini,452.68,2045
18,tazza,994.66,2993
19,Tappeto persiano,941.43,1116
20,televisore,221.13,4741
21,computer,467.79,322
22,Pantofole da casa,253.69,4029
23,Libri per bambini,975.8,2809
24,Scarpe da ginnastica,820.34,384
25,occhiali da sole,550.0,353
26,stampante,615.37,2689
27,trapano,627.02,3337
28,Monitor PC,857.32,2414
29,radio,644.65,3872
30,tappeto,302.17,3380
31,Bicicletta da corsa,701.4,4400
32,Borsa da viaggio,90.05,3714
33,Set di posate in acciaio inox,532.56,1354
34,bracciale,297.42,2838
35,Ombrello pieghevole,201.37,1262
36,forchetta,852.91,3918
37,coltello,65.96,3384
38,tazza,123.94,4954
39,Piumino,975.91,2179
40,palla,634.46,3296
41,letto,774.21,837
42,lampada,788.5,1655
43,Tappeto persiano,558.48,1938
44,scarpe,336.73,2728
45,frigorifero,427.0,914
46,Macchina fotografica digitale,569.62,3583
47,Set di pentole antiaderenti,396.26,3266
48,automobile,489.28,914
49,telecamera,258.76,1319
50,Pantofole da casa,697.39,2721
51,microfono,40.05,2068
52,tappeto,935.88,4088
53,bicchiere,356.26,1834
54,radiatore,72.94,2553
55,Monitor PC,315.96,1211
56,Auricolari wireless,772.58,4718
57,ventola,775.2,3943
58,giocattolo,589.27,4865
59,frullatore,713.65,1974
60,Pantaloni in jeans,880.76,2028
61,Tablet Android,566.5,1257
62,Aspirapolvere robot,692.45,2531
63,tazza,968.52,4711
64,Pentola a pressione,618.08,4168
65,giocattolo,400.33,1843
66,bicicletta,363.84,1795
67,Lavatrice,581.28,11
68,Scarpe da ginnastica,682.89,376
69,televisore,656.1,638
70,Pentola a pressione,123.26,4034
71,Tavolo da gioco,441.61,3714
72,macchina fotografica,206.63,2314
73,ventola,896.86,549
74,Scarpe da ginnastica,649.32,1088
75,Libri per bambini,671.92,2545
76,Borsa da viaggio,327.61,4903
77,tostapane,863.03,1478
78,radio,868.89,2240
79,Aspirapolvere robot,907.74,684
80,altoparlante,307.93,2814
81,Tostapane,894.19,1771
82,Lavastoviglie,919.73,1241
83,Macchina per il fitness,627.2,114
84,telecamera,347.72,4053
85,Macchina per il fitness,156.39,4624
86,Scarpe da ginnastica,14.7,1571
87,Orologio da parete,848.71,2408
88,Videogiochi,733.52,4223
89,forchetta,972.72,160
90,Auricolari wireless,929.94,3078
91,Set di posate in acciaio inox,65.35,4593
92,altoparlante,33.85,2373
93,Forno a microonde,291.78,1970
94,Macchina da caffè,283.0,4032
95,Telefono cellulare,927.62,141
96,sedia,502.68,4562
97,Portatile,749.83,3435
98,Libri per bambini,237.75,2850
99,Orologio da polso,162.61,4160
100,Auricolari wireless,578.47,1504
101,microfono,453.14,4820
102,Tablet Android,271.67,248
103,Macchina per il fitness,786.93,3534
104,Macchina per il fitness,4.13,2126
105,Cuscino memory foam,478.69,3722
106,tavolo,921.99,2766
107,Tavolo da pranzo,217.1,613
108,tazza,2.49,473
109,tazza,451.1,3093
110,occhiali,212.14,3301
111,Giocattoli per bambini,563.95,2670
112,bicchiere,189.89,1729
113,radiatore,440.97,3343
114,palla,362.17,3089
115,tazza,791.87,2037
116,Lavastoviglie,380.97,3577
117,bracciale,422.36,3195
118,occhiali da sole,116.83,1892
119,occhiali da sole,863.61,846
120,Tappeto persiano,132.69,1219
121,Ombrello pieghevole,581.98,362
122,occhiali,737.2,1977
123,Libri per bambini,338.07,2657
124,Stampante laser,869.12,3646
125,Piumino,190.47,3604
126,Sedia da ufficio,724.48,499
127,giocattolo,328.94,3561
128,frigorifero,69.48,3363
129,Tavolo da pranzo,808.95,1460
130,microfono,821.73,4986
131,Pantaloni in jeans,234.11,1878
132,radio,414.99,675
133,Macchina per il fitness,130.25,941
134,Olio di oliva extra vergine,23.79,4172
135,orologio,99.6,3967
136,Smart TV 4K,883.0,4401
137,Olio di oliva extra vergine,695.93,3103
138,televisore,139.51,3783
139,Orologio da parete,422.25,1168
140,Videocamera HD,60.78,2632
141,coltello,753.25,313
142,tappeto,833.25,4656
143,coltello,407.9,2733
144,borsa,882.22,1071
145,Kit per il trucco,500.07,2603
146,Bicicletta da corsa,104.67,4540
147,Orologio da polso,587.96,3631
148,Set di posate in acciaio inox,201.05,2577
149,lampada,385.88,2989
150,radio,138.04,4723
151,coltello,7.64,1615
152,tazza,823.54,2423
153,Sedia da ufficio,816.98,3432
154,Videocamera HD,145.46,1898
155,tappeto,154.95,4768
156,cellulare,542.66,4568
157,Monitor PC,289.77,2966
158,Cuffie Bluetooth,469.59,1940
159,bicicletta,79.9,3888
160,automobile,252.98,1125
161,altoparlante,470.55,1923
162,stampante,308.66,2787
163,Stampante laser,531.61,4192
164,Smart TV 4K,324.15,4290
165,Smart TV 4K,703.55,408
166,Libri per bambini,968.37,4225
167,Stampante laser,412.24,3732
168,ventola,465.22,4157
169,Portatile,805.65,421
170,Videoproiettore HD,611.11,3409
171,Olio di oliva extra vergine,351.46,32
172,Tablet Android,705.74,2255
173,Lavastoviglie,416.19,910
174,Videoproiettore HD,18.31,3738
175,orologio,449.36,4705
176,televisore,415.52,4769
177,microfono,993.62,1251
178,Portatile,812.24,2538
179,cuffie,775.23,951
180,tablet,762.42,3033
181,ventilatore,185.93,4978
182,scarpe,94.39,4529
183,Tavolo da gioco,475.36,3470
184,letto,393.82,904
185,scarpe,186.36,3563
186,Frigorifero doppia porta,264.98,344
187,Altoparlante Bluetooth,39.23,2238
188,Smart TV 4K,798.74,453
189,Stampante laser,90.96,3633
190,cuffie,327.9,3785
191,Macchina da caffè,76.74,741
192,Monitor PC,49.65,1896
193,Piumino,449.51,4441
194,Videogiochi,178.76,3811
195,bicchiere,430.3,1533
196,tablet,227.08,2333
197,Orologio da polso,682.06,764
198,radio,644.07,2758
199,automobile,291.09,3038
200,cuffie,230.24,2209
