transaction_id,user_id,merchant_id,product_id,amount
1,7437,4244,8096,933.28
2,1981,9167,6512,772.58
3,215,3758,5930,522.95
4,3597,8400,4980,593.56
5,3382,2959,3664,863.82
6,4616,2613,9503,569.08
7,4723,1271,4145,786.09
8,9160,9003,4743,874.74
9,5168,1060,8256,835.09
10,2891,3117,9364,725.01
11,3604,6627,6085,76.37
12,261,5093,3930,194.78
13,6183,9029,757,185.15
14,4684,2457,6950,398.78
15,2955,2682,8864,534.87
16,4185,2249,7367,110.8
17,6904,4959,2137,400.21
18,5342,7556,7786,428.33
19,5922,6981,286,91.67
20,5266,3018,9923,165.5
21,3834,547,9777,31.23
22,2504,1211,6165,341.36
23,4045,5504,1583,986.66
24,3087,3110,8289,64.66
25,2333,6733,1984,625.79
26,9580,680,3913,358.27
27,4930,6812,2449,869.69
28,9399,9365,8108,642.3
29,4575,1756,8483,769.44
30,4203,3441,5796,650.73
31,1649,1751,7296,640.85
32,5507,4648,1293,794.84
33,704,2824,7147,842.72
34,5671,7626,7025,913.86
35,6252,1809,953,622.91
36,4427,251,1657,667.14
37,6973,3055,2013,978.9
38,3554,6797,3388,585.97
39,6594,9676,7981,970.22
40,7291,8856,1410,748.6
41,3493,5022,1532,169.78
42,1536,9073,3073,884.41
43,2096,3546,2538,25.0
44,2444,2543,1526,994.42
45,2313,6961,9394,116.47
46,4072,9030,8670,382.22
47,2490,3105,6896,75.79
48,8196,9270,3640,383.47
49,7000,3724,8906,341.93
50,6119,4501,857,322.42
51,955,1669,4653,459.92
52,1537,8808,7477,963.91
53,7609,9246,2425,784.86
54,2280,4516,8518,660.29
55,8452,6545,9926,227.27
56,3588,3139,6584,538.94
57,181,7593,8014,435.52
58,2924,4316,1525,314.98
59,3826,7419,809,423.67
60,6661,5824,9740,691.78
61,7219,6605,1181,880.6
62,5726,1627,2722,728.27
63,4078,3274,8790,934.7
64,2186,1201,780,534.31
65,6174,5068,5568,958.76
66,8987,3162,1252,259.49
67,2533,8333,1060,418.72
68,7591,8094,8839,694.02
69,4385,7333,3099,764.55
70,7957,4689,7413,810.37
71,4070,2202,1265,988.82
72,5852,9319,3049,378.26
73,5957,9693,3764,792.84
74,5355,3304,1073,169.55
75,7204,4475,1476,356.3
76,3642,1218,2939,669.92
77,8736,1194,9089,588.74
78,6425,1536,7608,830.8
79,5207,272,113,440.97
80,6461,6230,2598,329.38
81,5302,705,5995,376.49
82,1636,3217,3849,763.48
83,4584,5793,6702,751.38
84,7396,3410,907,566.2
85,4008,4848,4932,512.83
86,4554,9399,6250,315.98
87,4928,4378,3398,689.44
88,7392,6583,7463,994.24
89,7963,6964,6095,875.74
90,1423,6473,1479,153.32
91,8837,5326,7613,688.42
92,4720,6473,6453,609.93
93,5874,5678,5846,661.14
94,4648,283,5357,769.89
95,6236,2016,5712,245.04
96,183,6007,1312,634.54
97,1095,5544,7372,545.97
98,2353,1431,923,318.8
99,9952,5368,8948,334.51
100,1896,3892,4709,515.46
101,4859,3979,2097,146.57
102,7702,7059,56,772.58
