Dataset,Query,Millisecondi,Media,"Intervallo di Confidenza (Min, Max)"
100%,Query 1,4.23,4.23,"(4.01, 4.44)"
100%,Query 2,6.88,6.88,"(6.58, 7.18)"
100%,Query 3,6.86,6.86,"(6.62, 7.09)"
100%,Query 4,33.02,33.02,"(31.98, 34.06)"
75%,Query 1,4.5,4.5,"(4.3, 4.71)"
75%,Query 2,4.64,4.64,"(4.4, 4.89)"
75%,Query 3,6.47,6.47,"(6.24, 6.71)"
75%,Query 4,23.47,23.47,"(22.97, 23.96)"
50%,Query 1,3.04,3.04,"(2.82, 3.26)"
50%,Query 2,3.17,3.17,"(2.99, 3.35)"
50%,Query 3,5.93,5.93,"(5.66, 6.19)"
50%,Query 4,15.78,15.78,"(15.42, 16.15)"
25%,Query 1,1.64,1.64,"(1.46, 1.83)"
25%,Query 2,1.72,1.72,"(1.5, 1.95)"
25%,Query 3,2.86,2.86,"(2.7, 3.03)"
25%,Query 4,11.6,11.6,"(11.14, 12.06)"
