product_id,product_name,amount,product_quantity
1,cucchiaio,222.94,3090
2,televisore,349.2,4773
3,divano,853.1,2860
4,Portatile,269.8,4727
5,Tablet Android,363.04,4598
6,frullatore,649.92,2149
7,maglia,441.63,1882
8,Kit per il trucco,407.82,168
9,libro,832.41,886
10,occhiali da sole,327.73,4064
11,Macchina fotografica digitale,612.8,4219
12,cucchiaio,595.16,1019
13,Tostapane,646.27,610
14,Tappeto persiano,325.74,3225
15,Set di posate in acciaio inox,884.98,4866
16,cucchiaio,232.54,4512
17,Borsa da viaggio,397.53,3881
18,Set di pentole antiaderenti,963.96,402
19,libro,225.63,1542
20,Aspirapolvere robot,328.9,4477
21,pantaloni,256.26,2944
22,Orologio da polso,205.73,2370
23,Videogiochi,218.82,1968
24,Lavastoviglie,9.81,4102
25,Portatile,467.52,1417
26,Letto a baldacchino,178.57,510
27,Pantaloni in jeans,262.6,481
28,ocarina,434.71,4443
29,Ombrello pieghevole,356.97,746
30,ventilatore,929.18,1943
31,Ombrello pieghevole,950.96,4052
32,tavolo,128.17,1924
33,Tavolo da gioco,742.76,3410
34,Pantaloni in jeans,541.81,609
35,Valigia rigida,932.24,2095
36,Cuffie Bluetooth,251.3,3416
37,Sedia da ufficio,326.81,2477
38,cellulare,559.5,3076
39,microfono,320.47,1826
40,televisore,298.83,532
41,Pentola a pressione,122.98,3254
42,Frigorifero doppia porta,645.34,3441
43,Ombrello pieghevole,135.13,360
44,tappeto,893.86,198
45,stampante,243.47,2143
46,Aspirapolvere robot,162.6,1142
47,forno,878.13,3119
48,Frigorifero doppia porta,330.99,1960
49,scarpe,660.04,936
50,Macchina da caffè,986.8,3262
51,computer,802.72,2705
52,coltello,816.52,4240
53,forno,651.61,1361
54,Letto a baldacchino,490.62,400
55,Smartwatch,650.29,4713
56,Set di pentole antiaderenti,505.63,1311
57,Ombrello pieghevole,570.2,4517
58,Ombrello pieghevole,758.8,1987
59,telecamera,232.11,698
60,Cuffie Bluetooth,195.42,3598
61,cellulare,554.13,4117
62,Macchina per il fitness,877.87,855
63,bicchiere,233.48,1291
64,cuffie,421.51,2913
65,Macchina fotografica digitale,57.27,1146
66,computer,443.69,4383
67,frullatore,432.93,572
68,Tappeto persiano,142.96,4605
69,automobile,73.13,1770
70,Scarpe da ginnastica,528.38,1894
71,sedia,497.59,4766
72,Valigia rigida,273.72,621
73,tazza,916.38,2103
74,Penna stilografica,854.66,2372
75,collana,199.29,2938
76,cuffie,517.78,2368
77,Libri per bambini,308.95,4539
78,Auricolari wireless,238.18,708
79,forno,456.26,1108
80,Pentola a pressione,714.04,4497
81,occhiali da sole,446.0,2752
82,frullatore,809.34,1171
83,trapano,523.75,840
84,Forno a microonde,620.7,1233
85,Monitor PC,357.79,3188
86,borsa,500.95,3189
87,Giocattoli per bambini,270.56,2108
88,stampante,391.98,766
89,console,387.61,1897
90,forno,755.3,3644
91,forno,365.92,1703
92,divano,28.55,4728
93,ocarina,491.27,1896
94,Penna stilografica,231.09,3401
95,Penna stilografica,18.55,321
96,palla,503.35,1390
97,frullatore,141.13,1962
98,giocattolo,178.29,4928
99,Set di pentole antiaderenti,209.23,4101
100,Giocattoli per bambini,397.15,975
101,ventilatore,906.44,4444
102,Altoparlante Bluetooth,313.43,4433
103,Smart TV 4K,539.0,1042
104,Telefono cordless,432.83,3888
105,telecamera,794.92,2380
106,Tavolo da pranzo,509.77,1221
107,bicicletta,990.75,2359
108,Set di pentole antiaderenti,739.38,2400
109,Videocamera HD,850.99,3924
110,sedia,794.82,4542
111,scarpe,939.43,1575
112,Libri per bambini,117.72,1151
113,lampada,216.08,594
114,televisore,357.68,46
115,collana,103.34,127
116,Letto a baldacchino,352.32,4232
117,Tavolo da gioco,843.81,371
118,bracciale,793.34,3363
119,Tostapane,114.47,3748
120,giocattolo,381.68,3794
121,tavolo,838.24,1722
122,Bicicletta da corsa,131.54,4840
123,Pantofole da casa,745.02,3531
124,Frigorifero doppia porta,267.54,3989
125,collana,248.75,3416
126,cucchiaio,583.34,2111
127,Tablet Android,444.08,2856
128,Forno a microonde,874.66,969
129,collana,101.16,231
130,radio,508.04,4849
131,Penna stilografica,828.88,4307
132,macchina fotografica,87.22,834
133,computer,587.19,4663
134,Smart TV 4K,500.85,4989
135,macchina fotografica,577.37,4797
136,cellulare,539.31,4151
137,occhiali,655.58,1197
138,giocattolo,220.33,4686
139,letto,929.84,1915
140,Penna stilografica,958.61,3644
141,occhiali da sole,38.91,2435
142,ventola,283.63,3698
143,Stampante laser,933.53,890
144,Letto a baldacchino,638.4,2436
145,Monitor PC,997.4,2916
146,Pentola a pressione,275.81,1796
147,Macchina per il fitness,882.78,2152
148,Tablet Android,274.1,1452
149,frigorifero,355.88,690
150,forno,345.28,1410
151,console,559.92,4678
152,Olio di oliva extra vergine,946.36,4676
153,Altoparlante Bluetooth,571.95,4053
154,Videoproiettore HD,259.91,2895
155,Tappeto persiano,203.92,883
156,Telefono cordless,149.67,3521
157,Valigia rigida,436.73,30
158,Auricolari wireless,846.2,2710
159,televisore,408.28,4185
160,Letto a baldacchino,577.46,3903
161,Monitor PC,192.92,2383
162,macchina fotografica,758.96,3433
163,tostapane,228.25,3542
164,Orologio da polso,420.91,92
165,Piumino,232.99,1720
166,Libri per bambini,411.54,3631
167,Smart TV 4K,20.09,2214
168,Cuffie Bluetooth,583.82,510
169,libro,899.19,1399
170,Letto a baldacchino,636.44,3696
171,forchetta,933.16,772
172,borsa,709.15,1427
173,Aspirapolvere robot,797.65,534
174,Forno a microonde,722.6,4495
175,Telefono cellulare,834.28,2947
176,console,301.08,139
177,lampada,101.44,118
178,microfono,785.41,3147
179,orologio,414.46,1446
180,Altoparlante Bluetooth,248.41,2099
181,Fornello a gas,136.28,609
182,lampada,977.87,1422
183,Macchina da caffè,114.87,3077
184,televisore,318.29,311
185,Pantaloni in jeans,966.55,33
186,telecamera,152.81,4309
187,automobile,820.75,2091
188,computer,798.12,1907
189,Sedia da ufficio,800.54,3244
190,televisore,810.81,1553
191,borsa,513.37,619
192,Cuscino memory foam,929.57,1849
193,Valigia rigida,809.01,3155
194,Smartwatch,958.86,3594
195,stampante,832.59,3850
196,computer,282.55,3222
197,Abbigliamento sportivo,382.55,1291
198,Libri per bambini,758.15,4509
199,Videoproiettore HD,955.12,4603
200,bracciale,903.35,4575
201,Videocamera HD,4.69,340
202,Valigia rigida,591.14,792
203,Portatile,740.77,610
204,Libri per bambini,986.71,2547
205,stampante,67.2,2831
206,coltello,150.67,4660
207,automobile,851.32,2142
208,Telefono cordless,431.96,3299
209,automobile,539.87,976
210,Set di pentole antiaderenti,436.0,4378
211,Videoproiettore HD,106.67,3881
212,Frigorifero doppia porta,965.56,804
213,bracciale,562.1,4525
214,Borsa da viaggio,620.31,2433
215,Altoparlante Bluetooth,160.02,1456
216,divano,256.55,2101
217,borsa,828.28,1966
218,forchetta,46.25,3334
219,giocattolo,390.84,434
220,Videoproiettore HD,238.88,2899
221,microfono,859.73,4299
222,computer,142.83,1310
223,bicicletta,479.82,1069
224,Smart TV 4K,289.11,2682
225,Tostapane,155.96,2486
226,Videogiochi,840.27,2546
227,orologio,113.98,244
228,scarpe,480.21,86
229,Set di posate in acciaio inox,7.04,4389
230,computer,615.72,1350
231,Cuscino memory foam,588.02,4110
232,Portatile,413.31,2316
233,telecamera,824.53,3656
234,cuffie,417.19,1150
235,cellulare,968.88,2581
236,Cuscino memory foam,463.98,1748
237,televisore,763.38,526
238,Piumino,449.52,2784
239,occhiali da sole,216.9,3536
240,Videocamera HD,775.4,1185
241,console,826.99,4531
242,Telefono cellulare,405.99,854
243,Cuffie Bluetooth,169.14,1557
244,Cuscino memory foam,495.33,1390
245,Macchina fotografica digitale,795.04,548
246,Smartwatch,951.14,332
247,Orologio da parete,561.68,2406
248,Kit per il trucco,134.97,3628
249,palla,17.29,4690
250,Letto a baldacchino,233.79,3289
251,Tavolo da pranzo,554.76,2853
252,frigorifero,236.88,1139
253,letto,362.56,169
254,Macchina fotografica digitale,256.57,149
255,Set di pentole antiaderenti,517.68,1821
256,frullatore,554.69,3829
257,piatto,918.49,1761
258,telecamera,405.33,4041
259,Portatile,705.18,2249
260,Videocamera HD,835.58,2961
261,Tavolo da pranzo,87.59,4420
262,Cuffie Bluetooth,179.16,2170
263,collana,901.85,3240
264,Videocamera HD,747.72,2450
265,Kit per il trucco,891.98,4301
266,Telefono cordless,687.73,321
267,Valigia rigida,150.32,211
268,Stampante laser,444.17,3358
269,macchina fotografica,275.62,1886
270,Valigia rigida,937.06,639
271,Lavatrice,302.32,2914
272,Bicicletta da corsa,289.25,1209
273,borsa,981.62,3730
274,radiatore,151.83,1694
275,Tappeto persiano,391.33,1302
276,Frigorifero doppia porta,690.11,3338
277,Pantaloni in jeans,520.44,3646
278,Tablet Android,885.07,2423
279,Macchina fotografica digitale,411.1,1026
280,Pantofole da casa,61.22,2249
281,Ombrello pieghevole,424.81,3472
282,coltello,843.95,2951
283,Giocattoli per bambini,692.24,3440
284,occhiali da sole,40.75,4229
285,Telefono cellulare,619.81,3307
286,forchetta,512.67,3712
287,radio,513.4,4959
288,Lavastoviglie,807.09,1018
289,Orologio da parete,560.07,890
290,letto,857.68,2071
291,occhiali,933.37,530
292,bicchiere,793.65,3519
293,collana,330.51,231
294,televisore,518.74,4422
295,collana,94.54,965
296,occhiali,910.12,3564
297,tavolo,668.35,1077
298,pantaloni,481.39,1133
299,radiatore,118.14,3878
300,maglia,480.79,2712
301,trapano,52.81,154
302,Tavolo da pranzo,572.97,1355
