transaction_id,user_id,merchant_id,product_id,amount
1,9850,1591,8058,875.4
2,3440,9306,2292,899.64
3,8196,712,3424,63.31
4,3729,9451,6389,134.51
5,8363,8172,6792,402.79
6,783,8433,3984,84.43
7,5231,7536,5829,475.01
8,7428,5522,4597,942.19
9,7891,8473,2460,163.92
10,1309,1995,7478,405.19
11,9418,3126,664,475.4
12,7314,4894,3305,545.55
13,1717,1469,8612,319.19
14,5927,9117,6275,572.98
15,5251,4204,483,54.72
16,7447,7013,8052,538.58
17,7338,6675,2472,311.24
18,527,9336,910,190.35
19,571,6555,6208,257.89
20,6181,7009,9456,228.69
21,5613,1370,7499,197.18
22,4595,4889,7866,347.37
23,1329,2555,7188,164.58
24,9280,4162,5668,210.32
25,7278,9010,5310,424.86
26,787,6588,9349,959.21
27,6751,3991,1350,355.67
28,2695,3292,4185,236.42
29,7551,5245,1608,867.3
30,18,9427,8764,624.13
31,3415,750,6351,934.17
32,7243,8894,4507,653.88
33,270,4795,8758,207.48
34,192,4889,1844,36.16
35,6988,4466,380,48.35
36,2594,9944,9169,394.56
37,8305,132,5309,918.31
38,3020,4005,7199,149.24
39,8287,4741,7525,116.82
40,4928,6355,9728,511.68
41,8264,1117,4563,135.88
42,4928,7027,3806,435.8
43,1076,4815,8028,153.15
44,9146,1485,3918,544.0
45,5193,8064,2653,767.84
46,2837,2273,3065,340.34
47,5206,2089,5913,144.47
48,2550,7669,2639,526.93
49,3999,6671,9786,349.73
50,1372,6110,4415,847.88
51,2056,7754,8624,732.28
52,4089,9460,4201,894.67
53,1511,7004,8918,882.71
54,7637,5788,2924,290.65
55,7679,3957,2985,941.23
56,5074,4359,9283,738.05
57,9141,919,4597,942.19
58,8565,9298,8565,323.03
59,4618,6788,334,993.7
60,4221,3884,4670,520.2
61,289,7523,8222,910.98
62,7149,8233,8571,593.44
63,7862,1335,5741,915.17
64,5628,4854,9903,93.45
65,6411,4088,4980,639.91
66,1888,3465,42,645.34
67,9296,4433,4747,157.43
68,374,9219,4396,267.02
69,7297,35,3392,960.75
70,5982,2305,2900,153.34
71,3998,3649,6553,601.61
72,5942,2388,4060,980.33
73,1785,599,2387,744.67
74,6721,6499,262,179.16
75,9558,9038,221,859.73
76,5397,9987,5713,491.52
77,3222,3445,1575,208.64
78,9914,4742,8878,782.6
79,3441,7742,8027,922.72
80,8462,4313,438,236.38
81,8355,3042,7908,994.09
82,3367,3292,1969,79.6
83,8762,7370,3324,431.55
84,6768,8182,7783,940.33
85,2908,9093,8069,989.88
86,591,3856,2110,235.74
87,3326,4342,1385,343.45
88,3094,5380,7180,989.33
89,2189,8373,6692,884.99
90,4808,9422,8854,411.25
91,432,8473,6126,943.61
92,2650,3719,9283,738.05
93,3829,4774,5528,257.41
94,7388,6337,5483,534.63
95,4939,3612,6186,174.57
96,4688,8804,6460,434.88
97,8320,755,1333,756.11
98,8158,2634,1462,444.05
99,737,2952,8976,755.77
100,2243,958,8309,492.76
101,5769,6780,3515,431.08
102,4004,5848,7325,534.98
103,9518,8233,2358,707.13
104,1004,2086,3284,104.67
105,6736,8316,5560,873.85
106,937,1242,9887,661.76
107,105,1945,4375,957.5
108,8583,6892,849,388.59
109,7404,320,6805,137.49
110,3914,8721,7693,374.24
111,3662,7438,3141,418.67
112,2205,3821,1145,884.42
113,5870,6694,9106,25.69
114,2011,1829,3347,661.49
115,970,1950,8702,724.43
116,3660,4334,9319,372.76
117,1786,9626,3435,415.23
118,2137,6565,6507,740.59
119,9343,2374,3956,85.9
120,6443,97,8700,909.37
121,8784,9266,5041,809.7
122,9977,884,6014,49.4
123,8231,7489,1621,287.29
124,8449,6857,665,896.14
125,6511,285,2614,112.47
126,8871,697,5493,984.16
127,1458,1830,5411,162.26
128,4454,6587,916,280.8
129,439,1801,3891,625.4
130,1080,8748,2120,156.04
131,3939,4193,3464,314.97
132,5442,9243,1991,133.06
133,4256,8640,5291,708.09
134,403,7998,1610,719.42
135,2427,31,491,537.26
136,2005,2805,2844,106.56
137,7485,9739,1152,355.69
138,38,6089,4830,18.65
139,970,5236,59,232.11
140,6490,5637,3927,901.13
141,4411,3384,2766,131.62
142,6951,3293,4517,356.27
143,2498,1913,128,874.66
144,692,425,3823,179.03
145,7898,8510,2738,546.55
146,9004,326,9025,815.74
147,2094,2140,6717,861.2
148,2326,3822,2404,117.81
149,1899,1496,1491,800.59
150,9713,570,6985,677.84
151,2782,2781,2707,889.39
152,9674,5778,2880,799.32
153,3368,8220,2607,140.92
154,896,1818,8104,483.72
155,9296,9906,1998,192.4
156,3378,3044,1471,952.45
157,9353,5124,7,441.63
158,4044,2113,8789,698.17
159,6024,7904,2802,515.42
160,7008,6823,510,53.81
161,8201,2954,213,562.1
162,4553,3837,1141,782.74
163,3553,4195,6044,641.4
164,7516,9915,4091,974.79
165,92,1227,6019,276.37
166,2396,8275,183,114.87
167,1124,8742,2515,340.22
168,5852,6601,5617,750.18
169,1690,9647,289,560.07
170,717,7359,615,400.67
171,7170,3606,7857,291.42
172,9644,9525,5415,871.0
173,2455,6987,8862,539.2
174,4825,2424,6479,468.97
175,3658,2429,8861,12.87
176,1372,1827,6450,822.23
177,7186,6140,3346,374.43
178,5919,3605,279,411.1
179,6062,8674,5223,683.12
180,4380,4562,6826,239.32
181,5691,8865,8350,320.94
182,9364,4113,3331,766.64
183,1455,9322,6397,833.24
184,408,6694,9890,356.15
185,1956,885,5220,583.44
186,9182,5500,3566,793.03
187,3493,7824,5374,46.37
188,2689,393,9353,114.99
189,1920,2517,5104,586.4
190,8122,1286,537,369.1
191,3249,472,8414,482.59
192,8715,1708,8845,540.06
193,7803,8271,9199,885.79
194,394,7597,7176,247.78
195,194,6056,9690,286.46
196,6584,4341,4510,827.34
197,9422,3983,9843,151.18
198,7921,4757,2920,899.26
199,1544,6320,7603,743.98
200,7951,8812,1199,529.84
201,7411,6290,9573,52.85
202,4394,5653,2836,764.48
203,8068,6437,6820,670.86
204,754,592,814,302.79
205,797,7057,1978,405.17
206,8326,8689,3691,653.71
207,4106,3982,1695,935.71
208,4665,824,594,586.94
209,5014,4770,2962,77.63
210,8935,3665,7933,184.94
211,636,4626,9007,902.88
212,2224,1237,5117,738.3
213,4064,1150,6498,389.46
214,2935,802,9038,384.05
215,3999,4019,555,879.86
216,3885,9009,8660,17.04
217,6232,3618,9140,438.89
218,6943,7644,6858,634.88
219,2967,1553,3142,462.46
220,6596,7480,947,71.64
221,9829,693,9246,586.12
222,9235,8893,940,709.69
223,3853,4999,7739,206.76
224,6524,2432,1392,841.88
225,4548,8976,4814,872.26
226,1476,9853,4069,127.65
227,1402,5502,7504,328.06
228,5041,9569,4939,467.73
229,8634,2418,251,554.76
230,1702,3003,2571,154.59
231,8316,6185,8812,736.34
232,1569,9878,4555,962.16
233,3240,9546,1523,731.57
234,7613,8761,7209,764.37
235,2821,730,7455,205.88
236,9201,5790,7048,331.87
237,9339,6331,1829,63.61
238,5955,6906,2519,814.99
239,8377,7771,6245,245.01
240,6779,3938,2471,898.74
241,7958,3581,10000,918.38
242,892,6312,5911,75.12
243,1298,219,4096,257.35
244,837,7068,1441,117.07
245,8949,8363,5678,390.67
246,9232,1101,6499,307.61
