Dataset,Query,Millisecondi,Media,"Intervallo di Confidenza (Min, Max)"
100%,Query 1,4.67,4.67,"(4.48, 4.87)"
100%,Query 2,6.33,6.33,"(6.1, 6.57)"
100%,Query 3,6.86,6.86,"(6.71, 7.01)"
100%,Query 4,31.41,31.41,"(30.78, 32.04)"
75%,Query 1,4.47,4.47,"(4.28, 4.67)"
75%,Query 2,4.8,4.8,"(4.59, 5.02)"
75%,Query 3,6.82,6.82,"(6.61, 7.03)"
75%,Query 4,24.13,24.13,"(23.0, 25.26)"
50%,Query 1,3.09,3.09,"(2.86, 3.32)"
50%,Query 2,3.4,3.4,"(3.19, 3.61)"
50%,Query 3,5.46,5.46,"(5.27, 5.66)"
50%,Query 4,16.28,16.28,"(15.54, 17.02)"
25%,Query 1,1.74,1.74,"(1.54, 1.94)"
25%,Query 2,1.85,1.85,"(1.68, 2.03)"
25%,Query 3,2.89,2.89,"(2.69, 3.09)"
25%,Query 4,8.97,8.97,"(8.64, 9.3)"
